timestamp,BTC,Price
2024-12-16,1,106058.66
2024-12-17,1,106133.74
2025-01-17,1,104077.48
2025-01-18,1,104556.23
2025-01-20,1,102260.01
2025-01-21,1,106143.82
2025-01-22,1,103706.66
2025-01-23,1,103910.34
2025-01-24,1,104870.5
2025-01-25,1,104746.85
2025-01-26,1,102620.0
2025-04-19,1,85077.01
2025-04-20,1,85179.24
2025-04-22,1,93442.99
2025-04-23,1,93691.08
2025-04-24,1,93980.47
2025-04-25,1,94638.68
2025-04-26,1,94628.0
2025-04-27,1,93749.3
2025-04-28,1,95011.18
2025-04-29,1,94256.82
2025-04-30,1,94172.0
